,,,,,Disconnected youth,Reading scores,Math scores,Children eligible for free or reduced price lunch,,Broadband access,
FIPS,State,County,Infant Mortality Rate,% Limited Access to Healthy Foods,% Disconnected Youth,Average Grade Performance,Average Grade Performance,% Enrolled in Free or Reduced Lunch,Juvenile Arrest Rate,% Broadband Access, 
17001,Illinois,Adams,6,3,7,2.8,2.7,52,8,81,
17003,Illinois,Alexander,,28,,2.0,2.2,99,0,60,
17005,Illinois,Bond,,9,,3.0,3.1,48,4,78,
17007,Illinois,Boone,,7,,2.7,2.6,45,19,88,
17009,Illinois,Brown,,10,,3.0,2.9,47,0,77,
17011,Illinois,Bureau,,10,7,3.1,3.0,50,0,82,
17013,Illinois,Calhoun,,5,,3.5,3.3,37,,73,
17015,Illinois,Carroll,,4,,3.3,3.4,44,0,83,
17017,Illinois,Cass,,3,,2.6,2.6,78,6,80,
17019,Illinois,Champaign,7,5,3,2.8,2.8,52,9,84,
17021,Illinois,Christian,,2,,3.0,2.9,49,11,79,
17023,Illinois,Clark,,10,,3.0,3.0,43,,79,
17025,Illinois,Clay,,6,,3.0,3.1,51,17,82,
17027,Illinois,Clinton,,4,10,3.4,3.3,35,20,81,
17029,Illinois,Coles,6,10,,2.8,2.6,54,0,81,
17031,Illinois,Cook,6,2,7,3.0,2.8,61,8,85,
17033,Illinois,Crawford,,2,,2.8,2.8,44,14,82,
17035,Illinois,Cumberland,,0,,2.7,2.7,44,,80,
17037,Illinois,DeKalb,6,15,4,2.8,2.9,40,15,89,
17039,Illinois,De Witt,,2,,3.4,3.3,48,0,82,
17041,Illinois,Douglas,,4,,3.1,2.9,40,7,77,
17043,Illinois,DuPage,4,3,3,3.3,3.3,27,6,92,
17045,Illinois,Edgar,,14,,3.0,2.9,64,0,80,
17047,Illinois,Edwards,,8,,3.4,3.4,38,,79,
17049,Illinois,Effingham,7,5,,3.3,3.0,34,24,84,
17051,Illinois,Fayette,,18,,2.9,2.8,55,10,77,
17053,Illinois,Ford,,8,,3.2,3.2,45,4,83,
17055,Illinois,Franklin,7,8,17,2.9,2.6,56,11,77,
17057,Illinois,Fulton,,5,8,2.8,2.8,49,9,80,
17059,Illinois,Gallatin,,30,,2.5,2.7,56,10,69,
17061,Illinois,Greene,,1,,3.0,2.9,58,11,77,
17063,Illinois,Grundy,5,6,,3.1,3.0,25,11,88,
17065,Illinois,Hamilton,,3,,3.2,3.2,50,11,71,
17067,Illinois,Hancock,,14,,3.3,3.0,47,8,77,
17069,Illinois,Hardin,,6,,2.6,2.9,61,0,75,
17071,Illinois,Henderson,,0,,2.6,2.4,57,8,80,
17073,Illinois,Henry,6,9,,2.8,2.9,41,9,79,
17075,Illinois,Iroquois,,11,,3.4,3.1,48,4,81,
17077,Illinois,Jackson,7,15,7,2.5,2.5,66,20,82,
17079,Illinois,Jasper,,4,,3.5,3.3,40,20,82,
17081,Illinois,Jefferson,9,10,5,2.9,2.6,59,12,82,
17083,Illinois,Jersey,,4,,3.2,3.5,43,,79,
17085,Illinois,Jo Daviess,,4,,3.1,3.4,34,,83,
17087,Illinois,Johnson,,3,,3.1,2.9,50,10,74,
17089,Illinois,Kane,5,4,5,2.7,2.8,42,5,89,
17091,Illinois,Kankakee,8,6,10,2.7,2.7,55,19,81,
17093,Illinois,Kendall,5,6,7,3.3,3.0,26,9,92,
17095,Illinois,Knox,5,9,6,2.9,2.7,56,18,75,
17097,Illinois,Lake,4,6,5,3.1,3.1,32,8,91,
17099,Illinois,LaSalle,8,8,6,2.9,2.8,46,12,85,
17101,Illinois,Lawrence,,8,,3.1,2.8,55,6,80,
17103,Illinois,Lee,,6,,2.6,2.5,46,8,80,
17105,Illinois,Livingston,,6,6,2.9,2.9,42,,81,
17107,Illinois,Logan,,7,,3.1,3.1,47,6,80,
17109,Illinois,McDonough,,10,,2.6,2.4,50,14,75,
17111,Illinois,McHenry,4,6,5,3.1,3.2,27,5,94,
17113,Illinois,McLean,6,9,3,3.1,3.1,36,14,85,
17115,Illinois,Macon,9,8,10,2.6,2.4,55,16,81,
17117,Illinois,Macoupin,8,4,12,3.0,2.9,50,4,80,
17119,Illinois,Madison,7,13,5,3.1,2.9,43,12,86,
17121,Illinois,Marion,8,10,12,2.9,2.6,64,19,82,
17123,Illinois,Marshall,,4,,3.3,2.9,45,5,81,
17125,Illinois,Mason,,13,,2.8,2.9,46,12,81,
17127,Illinois,Massac,,3,,3.1,3.4,64,15,73,
17129,Illinois,Menard,,2,,3.2,3.0,35,,84,
17131,Illinois,Mercer,,8,,2.9,2.8,35,,84,
17133,Illinois,Monroe,,5,,3.7,3.7,17,,87,
17135,Illinois,Montgomery,,6,11,2.9,3.0,49,7,78,
17137,Illinois,Morgan,,13,,3.2,2.7,51,,76,
17139,Illinois,Moultrie,,1,,3.1,3.0,48,8,77,
17141,Illinois,Ogle,6,4,13,3.0,3.1,35,4,83,
17143,Illinois,Peoria,9,13,8,2.8,2.7,54,25,82,
17145,Illinois,Perry,,9,,3.0,2.8,50,,80,
17147,Illinois,Piatt,,2,,3.3,3.1,31,8,84,
17149,Illinois,Pike,,10,,3.0,2.5,56,0,75,
17151,Illinois,Pope,,11,,2.7,2.8,58,,61,
17153,Illinois,Pulaski,,16,,2.2,2.3,79,0,53,
17155,Illinois,Putnam,,0,,2.9,3.1,35,0,83,
17157,Illinois,Randolph,,4,,3.0,3.0,50,6,79,
17159,Illinois,Richland,,3,,2.9,3.0,50,38,82,
17161,Illinois,Rock Island,7,6,7,2.6,2.6,59,12,85,
17163,Illinois,St. Clair,10,13,10,2.9,2.9,53,6,80,
17165,Illinois,Saline,,6,,2.9,2.4,58,16,73,
17167,Illinois,Sangamon,7,6,8,2.9,2.9,42,13,81,
17169,Illinois,Schuyler,,6,,2.6,2.7,49,10,84,
17171,Illinois,Scott,,20,,2.4,2.7,48,0,82,
17173,Illinois,Shelby,,6,,3.4,3.3,44,9,77,
17175,Illinois,Stark,,20,,3.0,3.1,45,,81,
17177,Illinois,Stephenson,8,2,,2.7,2.7,51,13,82,
17179,Illinois,Tazewell,5,9,6,3.1,3.1,36,4,85,
17181,Illinois,Union,,3,,2.9,2.7,56,0,68,
17183,Illinois,Vermilion,10,8,10,2.7,2.7,62,15,79,
17185,Illinois,Wabash,,3,,2.8,3.1,53,,78,
17187,Illinois,Warren,,3,,2.7,2.9,52,0,84,
17189,Illinois,Washington,,4,,3.3,3.0,36,,80,
17191,Illinois,Wayne,,8,,3.3,3.1,45,6,72,
17193,Illinois,White,,2,,3.0,2.9,56,42,78,
17195,Illinois,Whiteside,5,6,6,3.2,3.0,50,7,82,
17197,Illinois,Will,6,7,6,3.1,3.1,37,5,91,
17199,Illinois,Williamson,7,12,,3.2,3.2,50,5,80,
17201,Illinois,Winnebago,8,7,9,2.5,2.5,55,10,84,
17203,Illinois,Woodford,7,5,,3.3,3.3,26,4,86,
